0,1,2,3,4,,Total
0.007697177,0.929082915,0,0.143606376,0.005413681,,1.085800149
0,0.063328009,0,0.063328009,0,,0.126656018
0,0.013253921,0,0.013253921,0,,0.026507842
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0.08091466,0,,0.08091466
0,0.452545068,0.549052461,0.531934027,0,,1.533531556
0.67238449,0.795126589,0.938961913,0.795126589,0.063966301,,3.265565881
0.719604224,0.766650264,1.010854992,0.766650264,0.39034074,,3.654100483
0.917508807,1.012190904,0.928612798,1.012190904,0.627548047,,4.49805146
1.041597641,1.033246955,0.922686403,1.029829261,0.627686403,,4.655046663
1.044241632,1.290207125,0.901534851,1.008677708,0.719034851,,4.963696167
0.839840513,0.94698337,0.839840513,0.94698337,0.719007179,,4.292654945
0.946085193,1.05322805,0.946085193,1.05322805,0.851918526,,4.850545013
0.96987138,1.077014237,0.96987138,1.077014237,0.901538047,,4.995309282
0.972741068,1.079883925,0.972741068,1.079883925,0.930241068,,5.035491053
0.929499437,1.036642294,0.929499437,1.036642294,0.911999437,,4.8442829
0.777296377,0.884439234,0.777296377,0.884439234,0.777296377,,4.1007676
0.597481581,0.704624438,0.597481581,0.704624438,0.597481581,,3.201693618
0.419188703,0.52633156,0.419188703,0.52633156,0.419188703,,2.310229228
0.284340369,0.424816559,0.284340369,0.424816559,0.284340369,,1.702654225
0.14230014,0.282776331,0.14230014,0.282776331,0.14230014,,0.992453083
0.101124638,0.241600829,0.101124638,0.241600829,0.101124638,,0.786575573
0.001311419,0.108454276,0.001311419,0.108454276,0.001311419,,0.22084281
0,0.065078911,0,0.065078911,0,,0.130157821
0,0.105963979,0,0.105963979,0,,0.211927958
0,0.106037394,0,0.106037394,0,,0.212074788
0,0.105952551,0,0.105952551,0,,0.211905103
0.028599063,0.130262879,0.4371114,0.274442544,0,,0.870415886
0.256049735,0.329859259,0.931360202,0.485619383,0.107905587,,2.110794165
0.423059481,0.530202338,0.504314073,0.539719022,0.215559481,,2.212854395
0.680891406,0.785210307,1.376285738,0.785210307,0.493900783,,4.121498542
0.696844187,0.713427089,1.15149572,0.713427089,0.430450899,,3.705644985
0.980515283,1.012784785,1.050045267,1.012784785,0.624808594,,4.680938714
1.052513946,1.023890649,0.913361678,1.020504536,0.672528345,,4.682799155
0.961348219,1.070914654,0.95892097,1.066063827,0.76142097,,4.81866864
0.973090832,1.08023369,0.973090832,1.08023369,0.852257499,,4.958906543
0.765601998,0.872744855,0.765601998,0.872744855,0.671435331,,3.948129037
0.517164371,0.774079091,0.517164371,0.642443233,0.302997705,,2.753848771
0.595695692,0.926312893,0.595695692,0.755302004,0.461529026,,3.334535308
0.360976127,0.941174154,0.360976127,0.637306036,0.312642793,,2.613075237
0.177081925,0.284224782,0.177081925,0.284224782,0.177081925,,1.09969534
0,0.052396903,0,0.052396903,0,,0.104793806
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0.551626243,0.026576323,0.582848508,0,,1.161051075
0.688032245,0.865219491,1.203221463,0.865219491,0,,3.62169269
0.964323765,0.926683723,1.104186624,0.926683723,0.512862936,,4.434740771
1.074894967,0.991699946,0.880750468,0.987893325,0.762417134,,4.69765584
1.046133921,1.32518897,0.878091358,0.985234215,0.762258025,,4.996906489
0.940302297,1.44109306,0.867424578,0.974567435,0.672424578,,4.895811949
0.795089028,1.51802027,0.795089028,0.903996947,0.625922361,,4.638117635
0.740057635,1.429507006,0.740057635,0.918887098,0.575057635,,4.403567009
0.813044026,1.768517572,0.813044026,1.120841455,0.74637736,,5.26182444
0.81864535,1.513925354,0.81864535,1.137100605,0.77864535,,5.066962011
0.634502107,0.741644965,0.634502107,0.741644965,0.634502107,,3.386796252
0.455690393,0.562833251,0.455690393,0.562833251,0.455690393,,2.492737682
0.053193064,0.160335921,0.053193064,0.160335921,0.053193064,,0.480251033
0.289002973,0.429479164,0.289002973,0.429479164,0.289002973,,1.725967248
0.234008314,0.374484505,0.234008314,0.374484505,0.234008314,,1.450993952
0.195689868,0.336166058,0.195689868,0.336166058,0.195689868,,1.25940172
0.142832812,0.249975669,0.142832812,0.249975669,0.142832812,,0.928449773
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0.325998538,0,0.374119754,0,,0.700118292
0.310225152,0.661904222,0.428248956,0.661865219,0,,2.062243549
0.895659069,1.128180266,0.775826275,0.882969132,0.335218556,,4.0178533
0.910718891,1.091757134,0.897374092,1.004516949,0.613207425,,4.51757449
0.852474663,1.005402746,0.852474663,0.959855366,0.61414133,,4.284348768
0.914804914,1.666232151,0.914804914,1.102474716,0.74647158,,5.344788275
0.875278521,1.264918164,0.875278521,1.049703137,0.737778521,,4.802956863
0.731993612,0.903750208,0.731993612,0.862449729,0.679493612,,3.909680773
0.588152083,0.69529494,0.588152083,0.69529494,0.588152083,,3.155046128
0.362847699,0.469990556,0.362847699,0.469990556,0.362847699,,2.02852421
0.197827471,0.304970329,0.197827471,0.304970329,0.197827471,,1.203423072
0.147433156,0.287909347,0.147433156,0.287909347,0.147433156,,1.018118162
0.104106215,0.244582405,0.104106215,0.244582405,0.104106215,,0.801483455
0.00361505,0.144091241,0.00361505,0.144091241,0.00361505,,0.299027633
0,0.065514733,0,0.065514733,0,,0.131029465
0,0.015846649,0,0.015846649,0,,0.031693297
0,0.014451254,0,0.014451254,0,,0.028902508
0,0.062398144,0,0.062398144,0,,0.124796289
0,0.062576673,0,0.062576673,0,,0.125153346
0,0.093586117,0,0.093586117,0,,0.187172234
0,0.191676777,0,0.198384178,0,,0.390060955
0.182563754,0.335839513,0.926187988,0.425588051,0,,1.870179306
0,0.041487397,0.415343437,0.044091909,0,,0.500922743
0,0.058887099,0.156093006,0.058887099,0,,0.273867205
0,0,0.116110244,0,0,,0.116110244
0.104315519,0.098322477,0.033109767,0.096933473,0,,0.332681235
0.251723668,0.501151534,0.118511624,0.225654481,0,,1.097041307
0.375021413,0.83776379,0.312291047,0.419433905,0,,1.944510155
0.472570583,0.76039615,0.472570583,0.581042342,0,,2.286579659
0.484765769,0.717146811,0.484765769,0.607779539,0,,2.294457888
0.407035041,1.335608526,0.407035041,0.711058898,0.178170988,,3.038908495
0.391451353,1.12734443,0.391451353,0.726329392,0.356451353,,2.99302788
0.263352699,0.370495556,0.263352699,0.370495556,0.263352699,,1.53104921
0,0.012058456,0,0.012058456,0,,0.024116912
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0.20121669,0,0,,0.20121669
0,0,0.991514091,0,0,,0.991514091
0,0,0.824860417,0,0,,0.824860417
0,0,0.600530822,0.271661382,0,,0.872192204
0.018078256,0.408265948,0.351763536,0.456197451,0,,1.234305191
0.566778733,0.856619847,0.398918912,0.506061769,0,,2.328379261
0.501647982,1.149031186,0.408413173,0.51555603,0,,2.574648371
0.420861571,1.425703449,0.420861571,0.536393799,0.285261398,,3.089081788
0.567324007,1.653909595,0.567324007,0.800153623,0.48815734,,4.076868572
0.525777613,1.557483426,0.525777613,0.855800502,0.469110947,,3.933950102
0.404480787,1.133792776,0.404480787,0.737763802,0.368647453,,3.049165605
0.274428114,0.381570972,0.274428114,0.381570972,0.274428114,,1.586426287
0,0.013780991,0,0.013780991,0,,0.027561982
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0.061515514,0,0,,0.061515514
0,0.672987396,0.742240169,0.784569988,0,,2.199797553
0.759746235,1.054965997,0.634435192,0.741444599,0,,3.190592023
0.728690687,1.376542085,0.637254246,0.744397103,0,,3.48688412
0.635073793,1.586490325,0.635073793,0.751643221,0.483019415,,4.091300545
0.713833708,1.736832992,0.713833708,0.939838881,0.625500375,,4.729839665
0.681620009,1.610207444,0.681620009,0.987816721,0.606620009,,4.567884192
0.679153546,1.342047484,0.679153546,0.988929988,0.636653546,,4.325938111
0.49321592,0.600358777,0.49321592,0.600358777,0.49321592,,2.680365315
0.229832585,0.336975442,0.229832585,0.336975442,0.229832585,,1.36344864
0.103372927,0.210515784,0.103372927,0.210515784,0.103372927,,0.731150348
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0.068425177,0,0,,0.068425177
0,0.24650902,0.955325198,0.352120682,0,,1.5539549
0,0.163779113,0.382476665,0.163779113,0,,0.710034892
0.375336857,0.48017634,0.374759847,0.48017634,0,,1.710449383
0.604284814,0.850549896,0.480495165,0.587638022,0,,2.522967898
0.713753644,1.005397183,0.683130695,0.790273552,0,,3.192555074
0.669702893,1.54945137,0.669702893,0.786745569,0.523537942,,4.199140667
0.578245694,1.592271352,0.578245694,0.80427994,0.483245694,,4.036288376
0.687671516,1.554832301,0.687671516,0.97984032,0.607671516,,4.51768717
0.641397587,1.231844761,0.641397587,0.925249762,0.594730921,,4.034620619
0.452524665,0.559667522,0.452524665,0.559667522,0.452524665,,2.476909038
0.138414959,0.245557817,0.138414959,0.245557817,0.138414959,,0.906360512
0.055019366,0.162162223,0.055019366,0.162162223,0.055019366,,0.489382543
0,0.104755876,0,0.104755876,0,,0.209511753
0,0.010052563,0,0.010052563,0,,0.020105126
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0,0,0,0,,0
0,0.457301163,0,0.457392976,0,,0.914694139
0.600050994,0.879043665,0.698932378,0.879043665,0,,3.057070701
0.978143168,1.017190808,0.911064585,1.017190808,0.325971091,,4.249560461
1.032759994,1.275580229,0.91361974,1.020762598,0.679453074,,4.922175635
0.931641665,1.564218706,0.845893597,0.953036455,0.725060264,,5.019850688
0.854177454,1.816136656,0.854177454,0.973534982,0.763344121,,5.261370668
0.891223549,1.967952056,0.891223549,1.12661637,0.810390216,,5.68740574
0.89145026,1.972659937,0.89145026,1.236701948,0.83895026,,5.831212665
0.815164073,1.586289669,0.815164073,1.16566744,0.780997406,,5.163282661
0.682655052,0.789797909,0.682655052,0.789797909,0.682655052,,3.627560973
0.455745736,0.562888593,0.455745736,0.562888593,0.455745736,,2.493014395
0.379950188,0.487093045,0.379950188,0.487093045,0.379950188,,2.114036653
0.28970859,0.430184781,0.28970859,0.430184781,0.28970859,,1.729495332
0.197412403,0.337888593,0.197412403,0.337888593,0.197412403,,1.268014395
0.146658361,0.287134552,0.146658361,0.287134552,0.146658361,,1.014244188
0.142466168,0.249609025,0.142466168,0.249609025,0.142466168,,0.926616553
0.144693703,0.25183656,0.144693703,0.25183656,0.144693703,,0.93775423
0.134713931,0.241856788,0.134713931,0.241856788,0.134713931,,0.887855368
0.10055046,0.207693317,0.10055046,0.207693317,0.10055046,,0.717038015
0.101608885,0.208751742,0.101608885,0.208751742,0.101608885,,0.72233014
0.010154526,0.08396405,0.404148109,0.229601715,0,,0.7278684
0.00317953,0.076989054,0.25509732,0.139307893,0,,0.474573797
0.030585891,0.137728749,0.030585891,0.137728749,0,,0.33662928
0.220009508,0.327152365,0.471110299,0.331680175,0,,1.349952347
0.053565835,0.158221539,0.069564717,0.158221539,0,,0.439573629
0.370116556,0.35070025,0.523472331,0.35070025,0,,1.594989386
0.71707583,0.778007062,0.671861316,0.778007062,0.0682386,,3.013189868
0.778132898,0.950585669,0.721427887,0.828570745,0.394761221,,3.67347842
0.713208096,1.247942009,0.644471198,0.751614056,0.437804532,,3.795039891
0.627882772,1.550825716,0.627882772,0.747745197,0.533716106,,4.088052565
0.649002406,1.724738124,0.649002406,0.885262763,0.573169073,,4.481174773
0.695955373,1.545675856,0.695955373,0.985265538,0.604288707,,4.527140848
0.652434733,1.004804627,0.652434733,0.849644264,0.5941014,,3.753419758
0.451030418,0.558173275,0.451030418,0.558173275,0.451030418,,2.469437803
0.177777995,0.284920852,0.177777995,0.284920852,0.177777995,,1.10317569
0,0.068198843,0,0.068198843,0,,0.136397687
0.066650303,0.241371941,0.066650303,0.241371941,0.066650303,,0.68269479
0.051159227,0.191635418,0.051159227,0.191635418,0.051159227,,0.536748518
0.051823337,0.192299528,0.051823337,0.192299528,0.051823337,,0.540069067
0.052397515,0.159540373,0.052397515,0.159540373,0.052397515,,0.476273292
0.101235323,0.208378181,0.101235323,0.208378181,0.101235323,,0.720462332
0.099983199,0.207126057,0.099983199,0.207126057,0.099983199,,0.714201712
0.099775665,0.206918522,0.099775665,0.206918522,0.099775665,,0.71316404
0.101200734,0.208343592,0.101200734,0.208343592,0.101200734,,0.720289387
0.201739798,0.275549322,0.387149018,0.344381854,0.133406464,,1.342226455
