Time,
6/7/2016 20:00,2.328794558
6/7/2016 21:00,1.674601395
6/7/2016 22:00,0.954554133
6/7/2016 23:00,0.920829805
6/8/2016 0:00,0.929234945
6/8/2016 1:00,0.908377746
6/8/2016 2:00,0.934008235
6/8/2016 3:00,0.90858528
6/8/2016 4:00,0.925810629
6/8/2016 5:00,0.922075011
6/8/2016 6:00,0.966487357
6/8/2016 7:00,0.991183942
6/8/2016 8:00,1.051265129
6/8/2016 9:00,1.180601631
6/8/2016 10:00,2.749248852
6/8/2016 11:00,1.892876784
6/8/2016 12:00,2.965720755
6/8/2016 13:00,3.810925926
6/8/2016 14:00,4.44294939
6/8/2016 15:00,5.363512004
6/8/2016 16:00,5.177830937
6/8/2016 17:00,5.650617057
6/8/2016 18:00,5.098441575
6/8/2016 19:00,3.532636156
6/8/2016 20:00,1.875442048
6/8/2016 21:00,1.457530175
6/8/2016 22:00,1.191564184
6/8/2016 23:00,0.964801378
6/9/2016 0:00,0.954450366
6/9/2016 1:00,0.951856187
6/9/2016 2:00,0.938366456
6/9/2016 3:00,0.924461656
6/9/2016 4:00,0.923527751
6/9/2016 5:00,0.936498647
6/9/2016 6:00,0.985580515
6/9/2016 7:00,0.95943119
6/9/2016 8:00,1.027606216
6/9/2016 9:00,1.137495642
6/9/2016 10:00,2.105837404
6/9/2016 11:00,4.303418097
6/9/2016 12:00,5.536895886
6/9/2016 13:00,6.256828887
6/9/2016 14:00,6.288611791
6/9/2016 15:00,6.479389628
6/9/2016 16:00,6.861116122
6/9/2016 17:00,6.933323704
6/9/2016 18:00,6.271100894
6/9/2016 19:00,4.635243894
6/9/2016 20:00,3.472057579
6/9/2016 21:00,3.081146613
6/9/2016 22:00,2.717981327
6/9/2016 23:00,2.247057579
6/10/2016 0:00,1.981976751
6/10/2016 1:00,1.831466215
6/10/2016 2:00,1.876016919
6/10/2016 3:00,1.801421472
6/10/2016 4:00,1.618152059
6/10/2016 5:00,1.63932056
6/10/2016 6:00,1.710543434
6/10/2016 7:00,1.456626229
6/10/2016 8:00,1.377828994
6/10/2016 9:00,2.438988723
6/10/2016 10:00,1.583814137
6/10/2016 11:00,2.757700449
6/10/2016 12:00,4.226954375
6/10/2016 13:00,4.862753876
6/10/2016 14:00,5.004965013
6/10/2016 15:00,5.236651293
6/10/2016 16:00,5.596568009
6/10/2016 17:00,5.609328592
6/10/2016 18:00,4.807797902
6/10/2016 19:00,3.502751213
6/10/2016 20:00,2.037702761
6/10/2016 21:00,1.07009462
6/10/2016 22:00,1.597921169
6/10/2016 23:00,1.446994073
6/11/2016 0:00,1.460276269
6/11/2016 1:00,1.405093168
6/11/2016 2:00,1.631849325
6/11/2016 3:00,1.606806849
6/11/2016 4:00,1.602656162
6/11/2016 5:00,1.631157544
6/11/2016 6:00,2.236180565
6/11/2016 7:00,2.833303392
6/11/2016 8:00,3.367692661
6/11/2016 9:00,4.782828905
6/11/2016 10:00,4.621118157
6/11/2016 11:00,5.319667828
