Time,Avearge kW/sqm
6/7/2016 19:00,0.00520548
6/7/2016 20:00,0.00482673
6/7/2016 21:00,0.004717255
6/7/2016 22:00,0.004772771
6/7/2016 23:00,0.004604149
6/8/2016 0:00,0.004646175
6/8/2016 1:00,0.004541889
6/8/2016 2:00,0.004670041
6/8/2016 3:00,0.004542926
6/8/2016 4:00,0.004629053
6/8/2016 5:00,0.004610375
6/8/2016 6:00,0.004832437
6/8/2016 7:00,0.00495592
6/8/2016 8:00,0.005256326
6/8/2016 9:00,0.005560882
6/8/2016 10:00,0.00597647
6/8/2016 11:00,0.005914209
6/8/2016 12:00,0.006276357
6/8/2016 13:00,0.00643979
6/8/2016 14:00,0.006251972
6/8/2016 15:00,0.005821857
6/8/2016 16:00,0.005707713
6/8/2016 17:00,0.005664649
6/8/2016 18:00,0.005319105
6/8/2016 19:00,0.005278636
6/8/2016 20:00,0.004845408
6/8/2016 21:00,0.004840738
6/8/2016 22:00,0.004910262
6/8/2016 23:00,0.004723481
6/9/2016 0:00,0.004772252
6/9/2016 1:00,0.004759281
6/9/2016 2:00,0.004691832
6/9/2016 3:00,0.004622308
6/9/2016 4:00,0.004617639
6/9/2016 5:00,0.004682493
6/9/2016 6:00,0.004927903
6/9/2016 7:00,0.004797156
6/9/2016 8:00,0.005138031
6/9/2016 9:00,0.005687478
6/9/2016 10:00,0.005955716
6/9/2016 11:00,0.006231737
6/9/2016 12:00,0.006436677
6/9/2016 13:00,0.006673266
6/9/2016 14:00,0.006343806
6/9/2016 15:00,0.006090095
6/9/2016 16:00,0.005868552
6/9/2016 17:00,0.005510555
6/9/2016 18:00,0.005539091
6/9/2016 19:00,0.005038415
6/9/2016 20:00,0.004895216
6/9/2016 21:00,0.00483555
6/9/2016 22:00,0.00494243
6/9/2016 23:00,0.004895216
6/10/2016 0:00,0.004838663
6/10/2016 1:00,0.004524248
6/10/2016 2:00,0.004691313
6/10/2016 3:00,0.004567831
6/10/2016 4:00,0.00450557
6/10/2016 5:00,0.004584952
6/10/2016 6:00,0.004913375
6/10/2016 7:00,0.004910262
6/10/2016 8:00,0.005205999
6/10/2016 9:00,0.005445182
6/10/2016 10:00,0.005721203
6/10/2016 11:00,0.005813555
6/10/2016 12:00,0.006068823
6/10/2016 13:00,0.005946377
6/10/2016 14:00,0.006049626
6/10/2016 15:00,0.005742994
6/10/2016 16:00,0.005576966
6/10/2016 17:00,0.005410939
6/10/2016 18:00,0.005271891
6/10/2016 19:00,0.005166567
6/10/2016 20:00,0.004672635
6/10/2016 21:00,0.004668485
6/10/2016 22:00,0.004576132
6/10/2016 23:00,0.004551228
6/11/2016 0:00,0.004601036
6/11/2016 1:00,0.004644099
6/11/2016 2:00,0.004556935
6/11/2016 3:00,0.004463026
6/11/2016 4:00,0.004447461
6/11/2016 5:00,0.004554341
6/11/2016 6:00,0.004469771
6/11/2016 7:00,0.004291291
6/11/2016 8:00,0.004141347
6/11/2016 9:00,0.004290772
6/11/2016 10:00,0.004563161
6/11/2016 11:00,0.004561086
6/11/2016 12:00,0.00462594
6/11/2016 13:00,0.004662259
6/11/2016 14:00,0.004814278
6/11/2016 15:00,0.004694945
6/11/2016 16:00,0.004940873
6/11/2016 17:00,0.004952288
6/11/2016 18:00,0.004841776
6/11/2016 19:00,0.005089261
6/11/2016 20:00,0.004578726
6/11/2016 21:00,0.004861492
6/11/2016 22:00,0.004560567
6/11/2016 23:00,0.004503495
6/12/2016 0:00,0.004649288
6/12/2016 1:00,0.004396096
6/12/2016 2:00,0.004450055
6/12/2016 3:00,0.00459014
6/12/2016 4:00,0.004410623
6/12/2016 5:00,0.00418908
6/12/2016 6:00,0.004360296
6/12/2016 7:00,0.004203608
6/12/2016 8:00,0.00414446
6/12/2016 9:00,0.004325015
6/12/2016 10:00,0.004770176
6/12/2016 11:00,0.004863048
6/12/2016 12:00,0.004512315
6/12/2016 13:00,0.004616601
6/12/2016 14:00,0.004530474
6/12/2016 15:00,0.00475513
6/12/2016 16:00,0.004646175
6/12/2016 17:00,0.004464063
6/12/2016 18:00,0.004466658
6/12/2016 19:00,0.004343693
6/12/2016 20:00,0.004493637
6/12/2016 21:00,0.004480147
6/12/2016 22:00,0.004800269
6/12/2016 23:00,0.004491562
6/13/2016 0:00,0.004451092
6/13/2016 1:00,0.004493637
6/13/2016 2:00,0.004436565
6/13/2016 3:00,0.00425186
6/13/2016 4:00,0.004318789
6/13/2016 5:00,0.004490524
6/13/2016 6:00,0.004768101
6/13/2016 7:00,0.004787817
6/13/2016 8:00,0.004983937
6/13/2016 9:00,0.005498103
6/13/2016 10:00,0.005623661
6/13/2016 11:00,0.006035617
6/13/2016 12:00,0.006066747
6/13/2016 13:00,0.005937557
6/13/2016 14:00,0.006065191
6/13/2016 15:00,0.005965574
6/13/2016 16:00,0.00576686
6/13/2016 17:00,0.005706156
6/13/2016 18:00,0.00523194
6/13/2016 19:00,0.005565033
6/13/2016 20:00,0.004725038
6/13/2016 21:00,0.004664853
6/13/2016 22:00,0.005015586
6/13/2016 23:00,0.00471518
6/14/2016 0:00,0.004771214
6/14/2016 1:00,0.004498825
6/14/2016 2:00,0.00466174
6/14/2016 3:00,0.004446423
6/14/2016 4:00,0.004452649
6/14/2016 5:00,0.004677305
6/14/2016 6:00,0.004626459
6/14/2016 7:00,0.005032189
6/14/2016 8:00,0.004833474
6/14/2016 9:00,0.005680215
6/14/2016 10:00,0.005959867
6/14/2016 11:00,0.0058919
6/14/2016 12:00,0.005879966
6/14/2016 13:00,0.006006562
6/14/2016 14:00,0.005946377
6/14/2016 15:00,0.00596765
6/14/2016 16:00,0.005684884
6/14/2016 17:00,0.005580598
6/14/2016 18:00,0.005186283
6/14/2016 19:00,0.005351791
6/14/2016 20:00,0.004827767
6/14/2016 21:00,0.00501818
6/14/2016 22:00,0.004736452
6/14/2016 23:00,0.004391426
6/15/2016 0:00,0.004378974
6/15/2016 1:00,0.00442982
6/15/2016 2:00,0.004439678
6/15/2016 3:00,0.004456281
6/15/2016 4:00,0.004750461
6/15/2016 5:00,0.004848002
6/15/2016 6:00,0.004925308
6/15/2016 7:00,0.004726594
6/15/2016 8:00,0.004865642
6/15/2016 9:00,0.005135437
6/15/2016 10:00,0.005674507
6/15/2016 11:00,0.006052739
6/15/2016 12:00,0.005885155
6/15/2016 13:00,0.006017977
6/15/2016 14:00,0.005990997
6/15/2016 15:00,0.005938595
6/15/2016 16:00,0.005738324
6/15/2016 17:00,0.005251656
6/15/2016 18:00,0.005197178
6/15/2016 19:00,0.005272928
6/15/2016 20:00,0.004991201
6/15/2016 21:00,0.004707397
6/15/2016 22:00,0.004567312
6/15/2016 23:00,0.004541889
6/16/2016 0:00,0.004402841
6/16/2016 1:00,0.004651882
6/16/2016 2:00,0.004439159
6/16/2016 3:00,0.004262236
6/16/2016 4:00,0.004669522
6/16/2016 5:00,0.004457318
6/16/2016 6:00,0.004718812
6/16/2016 7:00,0.005115721
6/16/2016 8:00,0.005426504
6/16/2016 9:00,0.005576966
6/16/2016 10:00,0.005769973
6/16/2016 11:00,0.005886192
6/16/2016 12:00,0.005955716
6/16/2016 13:00,0.006258198
6/16/2016 14:00,0.006170514
6/16/2016 15:00,0.005855581
6/16/2016 16:00,0.005752333
6/16/2016 17:00,0.005608096
6/16/2016 18:00,0.005634557
6/16/2016 19:00,0.00557541
6/16/2016 20:00,0.005075252
6/16/2016 21:00,0.004968891
6/16/2016 22:00,0.004658627
6/16/2016 23:00,0.004787817
6/17/2016 0:00,0.004658108
6/17/2016 1:00,0.004729188
6/17/2016 2:00,0.004570944
6/17/2016 3:00,0.004488449
6/17/2016 4:00,0.004577688
6/17/2016 5:00,0.004775884
6/17/2016 6:00,0.005216375
6/17/2016 7:00,0.005176425
6/17/2016 8:00,0.005330519
6/17/2016 9:00,0.005470086
6/17/2016 10:00,0.005648047
6/17/2016 11:00,0.005914209
6/17/2016 12:00,0.005782425
6/17/2016 13:00,0.005831715
6/17/2016 14:00,0.00598529
6/17/2016 15:00,0.006155468
6/17/2016 16:00,0.005603427
6/17/2016 17:00,0.005436362
6/17/2016 18:00,0.00559305
6/17/2016 19:00,0.005185764
6/17/2016 20:00,0.004957476
6/17/2016 21:00,0.004753574
6/17/2016 22:00,0.004726594
6/17/2016 23:00,0.004443829
6/18/2016 0:00,0.004782629
6/18/2016 1:00,0.004459913
6/18/2016 2:00,0.004341099
6/18/2016 3:00,0.004624384
6/18/2016 4:00,0.004472884
6/18/2016 5:00,0.004662777
6/18/2016 6:00,0.004545521
6/18/2016 7:00,0.004306856
6/18/2016 8:00,0.004274169
6/18/2016 9:00,0.004574575
6/18/2016 10:00,0.0044568
6/18/2016 11:00,0.004481704
6/18/2016 12:00,0.004691313
6/18/2016 13:00,0.004656551
6/18/2016 14:00,0.004628534
6/18/2016 15:00,0.004603111
6/18/2016 16:00,0.004886396
6/18/2016 17:00,0.004810646
6/18/2016 18:00,0.004805976
6/18/2016 19:00,0.00457717
6/18/2016 20:00,0.004516985
6/18/2016 21:00,0.004605187
6/18/2016 22:00,0.004464063
6/18/2016 23:00,0.004534106
6/19/2016 0:00,0.004520616
6/19/2016 1:00,0.004493118
6/19/2016 2:00,0.004485854
6/19/2016 3:00,0.004451092
6/19/2016 4:00,0.00451906
6/19/2016 5:00,0.004470289
6/19/2016 6:00,0.004486373
6/19/2016 7:00,0.004402322
6/19/2016 8:00,0.004415812
6/19/2016 9:00,0.004447979
6/19/2016 10:00,0.004549152
6/19/2016 11:00,0.004618158
6/19/2016 12:00,0.004619195
6/19/2016 13:00,0.004744235
6/19/2016 14:00,0.004725557
6/19/2016 15:00,0.004717774
6/19/2016 16:00,0.004897291
6/19/2016 17:00,0.00483088
6/19/2016 18:00,0.0049113
6/19/2016 19:00,0.004936204
6/19/2016 20:00,0.004854228
6/19/2016 21:00,0.004866161
6/19/2016 22:00,0.004885358
6/19/2016 23:00,0.004860454
6/20/2016 0:00,0.004627497
6/20/2016 1:00,0.004583396
6/20/2016 2:00,0.004605706
6/20/2016 3:00,0.004537219
6/20/2016 4:00,0.004756687
