Time,Zone1_Tset,Zone1_Qall (kW),Zone2_Tset,Zone2_Qall,Zone3_Tset,Zone3_Qall,Zone4_Tset,Zone4_Qall,Zone5_Tset,Zone5_Qall
13:00,25,0.144207302,24,0.144207302,25,0.144207302,24,0.144207302,25,0.144207302
14:00,25,0.147507098,24,0.147507098,25,0.147507098,24,0.147507098,25,0.147507098
15:00,25,0.138803108,24,0.138803108,25,0.138803108,24,0.138803108,25,0.138803108
16:00,25,0.137246601,24,0.137246601,25,0.137246601,24,0.137246601,25,0.137246601
17:00,25,0.230622105,24,0.230622105,25,0.230622105,24,0.230622105,25,0.230622105
18:00,25,0.328704488,24,0.328704488,25,0.328704488,24,0.328704488,25,0.328704488
19:00,25,0.32424665,24,0.32424665,25,0.32424665,24,0.32424665,25,0.32424665
20:00,25,0.217385566,24,0.217385566,25,0.217385566,24,0.217385566,25,0.217385566
21:00,25,0.112890372,24,0.112890372,25,0.112890372,24,0.112890372,25,0.112890372
22:00,25,0.117348209,24,0.217348209,25,0.117348209,24,0.217348209,25,0.117348209
23:00,25,0.108357822,24,0.208357822,25,0.108357822,24,0.208357822,25,0.108357822
0:00,25,0.114384619,24,0.214384619,25,0.114384619,24,0.214384619,25,0.114384619
1:00,25,0.109241919,24,0.109241919,25,0.109241919,24,0.109241919,25,0.109241919
2:00,25,0.105244807,24,0.105244807,25,0.105244807,24,0.105244807,25,0.105244807
3:00,25,0.108930617,24,0.108930617,25,0.108930617,24,0.108930617,25,0.108930617
4:00,25,0.106726603,24,0.106726603,25,0.106726603,24,0.106726603,25,0.106726603
5:00,25,0.107386562,24,0.107386562,25,0.107386562,24,0.107386562,25,0.107386562
6:00,25,0.2027793,24,0.1027793,25,0.2027793,24,0.1027793,25,0.2027793
7:00,25,0.200936395,24,0.100936395,25,0.200936395,24,0.100936395,25,0.200936395
8:00,25,0.301808039,24,0.301808039,25,0.301808039,24,0.301808039,25,0.301808039
9:00,25,0.305294616,24,0.305294616,25,0.305294616,24,0.305294616,25,0.305294616
10:00,25,0.109441152,24,0.109441152,25,0.109441152,24,0.109441152,25,0.109441152
11:00,25,0.109926782,24,0.109926782,25,0.109926782,24,0.109926782,25,0.109926782
12:00,25,0.115629825,24,0.115629825,25,0.115629825,24,0.115629825,25,0.115629825
13:00,25,0.115492853,24,0.115492853,25,0.115492853,24,0.115492853,25,0.115492853
14:00,25,0.115916223,24,0.115916223,25,0.115916223,24,0.115916223,25,0.115916223
15:00,25,0.117597251,24,0.117597251,25,0.117597251,24,0.117597251,25,0.117597251
16:00,25,0.115791702,24,0.115791702,25,0.115791702,24,0.115791702,25,0.115791702
17:00,25,0.215144195,24,0.215144195,25,0.215144195,24,0.215144195,25,0.215144195
18:00,25,0.315231359,24,0.315231359,25,0.315231359,24,0.315231359,25,0.315231359
19:00,25,0.315816606,24,0.315816606,25,0.315816606,24,0.315816606,25,0.315816606
20:00,25,0.215268715,24,0.215268715,25,0.215268715,24,0.215268715,25,0.215268715
21:00,25,0.118232306,24,0.118232306,25,0.118232306,24,0.118232306,25,0.118232306
22:00,25,0.117522538,24,0.217522538,25,0.117522538,24,0.217522538,25,0.117522538
23:00,25,0.114534044,24,0.214534044,25,0.114534044,24,0.214534044,25,0.114534044
0:00,25,0.113649948,24,0.213649948,25,0.113649948,24,0.213649948,25,0.113649948
1:00,25,0.107212233,24,0.107212233,25,0.107212233,24,0.107212233,25,0.107212233
2:00,25,0.108955521,24,0.108955521,25,0.108955521,24,0.108955521,25,0.108955521
3:00,25,0.108818549,24,0.108818549,25,0.108818549,24,0.108818549,25,0.108818549
4:00,25,0.107249589,24,0.107249589,25,0.107249589,24,0.107249589,25,0.107249589
5:00,25,0.108121233,24,0.108121233,25,0.108121233,24,0.108121233,25,0.108121233
6:00,25,0.205917219,24,0.105917219,25,0.205917219,24,0.105917219,25,0.205917219
7:00,25,0.202928724,24,0.102928724,25,0.202928724,24,0.102928724,25,0.202928724
8:00,25,0.304447876,24,0.304447876,25,0.304447876,24,0.304447876,25,0.304447876
9:00,25,0.305593465,24,0.305593465,25,0.305593465,24,0.305593465,25,0.305593465
10:00,25,0.111645166,24,0.111645166,25,0.111645166,24,0.111645166,25,0.111645166
11:00,25,0.111396125,24,0.111396125,25,0.111396125,24,0.111396125,25,0.111396125
12:00,25,0.116887483,24,0.116887483,25,0.116887483,24,0.116887483,25,0.116887483
13:00,25,0.124782089,24,0.124782089,25,0.124782089,24,0.124782089,25,0.124782089
14:00,25,0.113201674,24,0.113201674,25,0.113201674,24,0.113201674,25,0.113201674
15:00,25,0.11916621,24,0.11916621,25,0.11916621,24,0.11916621,25,0.11916621
16:00,25,0.121943019,24,0.121943019,25,0.121943019,24,0.121943019,25,0.121943019
17:00,25,0.218307018,24,0.218307018,25,0.218307018,24,0.218307018,25,0.218307018
18:00,25,0.318755292,24,0.318755292,25,0.318755292,24,0.318755292,25,0.318755292
19:00,25,0.316177716,24,0.316177716,25,0.316177716,24,0.316177716,25,0.316177716
20:00,25,0.215990935,24,0.215990935,25,0.215990935,24,0.215990935,25,0.215990935
21:00,25,0.116675798,24,0.116675798,25,0.116675798,24,0.116675798,25,0.116675798
22:00,25,0.118107785,24,0.218107785,25,0.118107785,24,0.218107785,25,0.118107785
23:00,25,0.111358769,24,0.211358769,25,0.111358769,24,0.211358769,25,0.111358769
0:00,25,0.110200727,24,0.210200727,25,0.110200727,24,0.210200727,25,0.110200727
1:00,25,0.107897096,24,0.107897096,25,0.107897096,24,0.107897096,25,0.107897096
2:00,25,0.107934452,24,0.107934452,25,0.107934452,24,0.107934452,25,0.107934452
3:00,25,0.107286945,24,0.107286945,25,0.107286945,24,0.107286945,25,0.107286945
4:00,25,0.109241919,24,0.109241919,25,0.109241919,24,0.109241919,25,0.109241919
5:00,25,0.110026398,24,0.110026398,25,0.110026398,24,0.110026398,25,0.110026398
6:00,25,0.218369278,24,0.118369278,25,0.218369278,24,0.118369278,25,0.218369278
7:00,25,0.219253375,24,0.119253375,25,0.219253375,24,0.119253375,25,0.219253375
8:00,25,0.325068486,24,0.325068486,25,0.325068486,24,0.325068486,25,0.325068486
9:00,25,0.334619216,24,0.334619216,25,0.334619216,24,0.334619216,25,0.334619216
10:00,25,0.137694875,24,0.137694875,25,0.137694875,24,0.137694875,25,0.137694875
11:00,25,0.148876824,24,0.148876824,25,0.148876824,24,0.148876824,25,0.148876824
12:00,25,0.147569358,24,0.147569358,25,0.147569358,24,0.147569358,25,0.147569358
13:00,25,0.14878966,24,0.14878966,25,0.14878966,24,0.14878966,25,0.14878966
14:00,25,0.148690043,24,0.148690043,25,0.148690043,24,0.148690043,25,0.148690043
15:00,25,0.146834686,24,0.146834686,25,0.146834686,24,0.146834686,25,0.146834686
16:00,25,0.14582607,24,0.14582607,25,0.14582607,24,0.14582607,25,0.14582607
17:00,25,0.241542561,24,0.241542561,25,0.241542561,24,0.241542561,25,0.241542561
18:00,25,0.340708273,24,0.340708273,25,0.340708273,24,0.340708273,25,0.340708273
19:00,25,0.336113463,24,0.336113463,25,0.336113463,24,0.336113463,25,0.336113463
20:00,25,0.219091498,24,0.219091498,25,0.219091498,24,0.219091498,25,0.219091498
21:00,25,0.11838173,24,0.11838173,25,0.11838173,24,0.11838173,25,0.11838173
22:00,25,0.116949743,24,0.216949743,25,0.116949743,24,0.216949743,25,0.116949743
23:00,25,0.111620262,24,0.211620262,25,0.111620262,24,0.211620262,25,0.111620262
0:00,25,0.112180605,24,0.212180605,25,0.112180605,24,0.212180605,25,0.112180605
1:00,25,0.108806097,24,0.108806097,25,0.108806097,24,0.108806097,25,0.108806097
2:00,25,0.106552274,24,0.106552274,25,0.106552274,24,0.106552274,25,0.106552274
3:00,25,0.107461274,24,0.107461274,25,0.107461274,24,0.107461274,25,0.107461274
4:00,25,0.109353987,24,0.109353987,25,0.109353987,24,0.109353987,25,0.109353987
5:00,25,0.110512029,24,0.110512029,25,0.110512029,24,0.110512029,25,0.110512029
6:00,25,0.216414305,24,0.116414305,25,0.216414305,24,0.116414305,25,0.216414305
7:00,25,0.220299348,24,0.120299348,25,0.220299348,24,0.120299348,25,0.220299348
8:00,25,0.323101061,24,0.323101061,25,0.323101061,24,0.323101061,25,0.323101061
9:00,25,0.331929571,24,0.331929571,25,0.331929571,24,0.331929571,25,0.331929571
10:00,25,0.140347163,24,0.140347163,25,0.140347163,24,0.140347163,25,0.140347163
11:00,25,0.145838522,24,0.145838522,25,0.145838522,24,0.145838522,25,0.145838522
12:00,25,0.143086617,24,0.143086617,25,0.143086617,24,0.143086617,25,0.143086617
13:00,25,0.145253275,24,0.145253275,25,0.145253275,24,0.145253275,25,0.145253275
14:00,25,0.142949644,24,0.142949644,25,0.142949644,24,0.142949644,25,0.142949644
15:00,25,0.151379688,24,0.151379688,25,0.151379688,24,0.151379688,25,0.151379688
16:00,25,0.138043532,24,0.138043532,25,0.138043532,24,0.138043532,25,0.138043532
17:00,25,0.234058873,24,0.234058873,25,0.234058873,24,0.234058873,25,0.234058873
18:00,25,0.328119241,24,0.328119241,25,0.328119241,24,0.328119241,25,0.328119241
19:00,25,0.324931514,24,0.324931514,25,0.324931514,24,0.324931514,25,0.324931514
20:00,25,0.21584151,24,0.21584151,25,0.21584151,24,0.21584151,25,0.21584151
21:00,25,0.113214126,24,0.113214126,25,0.113214126,24,0.113214126,25,0.113214126
22:00,25,0.114546496,24,0.214546496,25,0.114546496,24,0.214546496,25,0.114546496
23:00,25,0.110499577,24,0.210499577,25,0.110499577,24,0.210499577,25,0.110499577
0:00,25,0.111508193,24,0.211508193,25,0.111508193,24,0.211508193,25,0.111508193
1:00,25,0.109005329,24,0.109005329,25,0.109005329,24,0.109005329,25,0.109005329
