Time,Zone1,Zone2,Zone3,Zone4,Zone5
6/4/2016 12:00,0.144518087,0.633815508,0.262541891,0.633776505,0
6/4/2016 13:00,0.869149327,1.101670524,0.749316533,0.85645939,0.162994182
6/4/2016 14:00,0.88495973,1.065997973,0.871614931,0.978757789,0.587448265
6/4/2016 15:00,0.826341941,0.979270024,0.826341941,0.933722644,0.588008607
6/4/2016 16:00,0.889073424,1.640500662,0.889073424,1.076743226,0.720740091
6/4/2016 17:00,0.849690922,1.239330565,0.849690922,1.024115539,0.712190922
6/4/2016 18:00,0.706386643,0.878143239,0.706386643,0.83684276,0.653886643
6/4/2016 19:00,0.562415059,0.669557916,0.562415059,0.669557916,0.562415059
6/4/2016 20:00,0.337232429,0.444375286,0.337232429,0.444375286,0.337232429
6/4/2016 21:00,0.171553626,0.278696483,0.171553626,0.278696483,0.171553626
6/4/2016 22:00,0.121317036,0.261793227,0.121317036,0.261793227,0.121317036
6/4/2016 23:00,0.078654205,0.219130396,0.078654205,0.219130396,0.078654205
6/5/2016 0:00,0,0.118835697,0,0.118835697,0
6/5/2016 1:00,0,0.041358865,0,0.041358865,0
6/5/2016 2:00,0,0,0,0,0
6/5/2016 3:00,0,0,0,0,0
6/5/2016 4:00,0,0.020680867,0,0.020680867,0
6/5/2016 5:00,0,0.03708104,0,0.03708104,0
6/5/2016 6:00,0,0.068367583,0,0.068367583,0
6/5/2016 7:00,0,0.166939567,0,0.173646969,0
6/5/2016 8:00,0.041319511,0.310611342,0.784943745,0.400359881,0
6/5/2016 9:00,0,0.017302213,0.391158253,0.019906726,0
6/5/2016 10:00,0,0.033197397,0.130525528,0.033197397,0
6/5/2016 11:00,0,0,0.090557418,0,0
6/5/2016 12:00,0.017268961,0.048230241,0.006037404,0.046841237,0
6/5/2016 13:00,0.223123405,0.472551272,0.089911362,0.197054219,0
6/5/2016 14:00,0.348953866,0.811696242,0.2862235,0.393366357,0
6/5/2016 15:00,0.445154695,0.732980262,0.445154695,0.553626454,0
6/5/2016 16:00,0.456705811,0.689086853,0.456705811,0.579719582,0
6/5/2016 17:00,0.379756058,1.308329543,0.379756058,0.683779916,0
6/5/2016 18:00,0.364961166,1.100854243,0.364961166,0.699839205,0.312688987
6/5/2016 19:00,0.237535429,0.344678286,0.237535429,0.344678286,0.237535429
6/5/2016 20:00,0,0,0,0,0
6/5/2016 21:00,0,0,0,0,0
6/5/2016 22:00,0,0,0,0,0
6/5/2016 23:00,0,0,0,0,0
6/6/2016 0:00,0,0,0,0,0
6/6/2016 1:00,0,0,0,0,0
6/6/2016 2:00,0,0,0,0,0
6/6/2016 3:00,0,0,0,0,0
6/6/2016 4:00,0,0,0,0,0
6/6/2016 5:00,0,0,0,0,0
6/6/2016 6:00,0,0,0,0,0
6/6/2016 7:00,0,0,0,0,0
6/6/2016 8:00,0,0,0.007299285,0,0
6/6/2016 9:00,0,0,0.958651139,0,0
6/6/2016 10:00,0,0,0.791150561,0,0
6/6/2016 11:00,0,0,0.564178505,0.047386785,0
6/6/2016 12:00,0,0.173661745,0.31666502,0.421076109,0
6/6/2016 13:00,0.336363189,0.821233478,0.364646983,0.470675399,0
6/6/2016 14:00,0.467371969,1.114755172,0.37413716,0.481280017,0
6/6/2016 15:00,0.386971998,1.391813876,0.386971998,0.502504226,0.034068464
6/6/2016 16:00,0.534918214,1.621503802,0.534918214,0.76774783,0.455751547
6/6/2016 17:00,0.494323711,1.526029523,0.494323711,0.8243466,0.437657044
6/6/2016 18:00,0.373212281,1.102524271,0.373212281,0.706495297,0.337378948
6/6/2016 19:00,0.244180678,0.351323535,0.244180678,0.351323535,0.244180678
6/6/2016 20:00,0,0,0,0,0
6/6/2016 21:00,0,0,0,0,0
6/6/2016 22:00,0,0,0,0,0
6/6/2016 23:00,0,0,0,0,0
6/7/2016 0:00,0,0,0,0,0
6/7/2016 1:00,0,0,0,0,0
6/7/2016 2:00,0,0,0,0,0
6/7/2016 3:00,0,0,0,0,0
6/7/2016 4:00,0,0,0,0,0
6/7/2016 5:00,0,0,0,0,0
6/7/2016 6:00,0,0,0,0,0
6/7/2016 7:00,0,0,0,0,0
6/7/2016 8:00,0,0,0,0,0
6/7/2016 9:00,0,0,0,0,0
6/7/2016 10:00,0,0,0,0,0
6/7/2016 11:00,0,0,0,0,0
6/7/2016 12:00,0,0.436873169,0.558769068,0.548455761,0
6/7/2016 13:00,0.514387819,1.020260843,0.600933758,0.706739446,0
6/7/2016 14:00,0.695680955,1.343532353,0.604244514,0.711387371,0
6/7/2016 15:00,0.60017244,1.551588973,0.60017244,0.716741868,0.230507809
6/7/2016 16:00,0.683157368,1.706156651,0.683157368,0.909162541,0.594824034
6/7/2016 17:00,0.651829148,1.580416583,0.651829148,0.95802586,0.576829148
6/7/2016 18:00,0.650682604,1.313576542,0.650682604,0.960459045,0.608182604
6/7/2016 19:00,0.465453362,0.572596219,0.465453362,0.572596219,0.465453362
6/7/2016 20:00,0.204090027,0.311232884,0.204090027,0.311232884,0.204090027
6/7/2016 21:00,0.078214232,0.18535709,0.078214232,0.18535709,0.078214232
6/7/2016 22:00,0,0,0,0,0
6/7/2016 23:00,0,0,0,0,0
6/8/2016 0:00,0,0,0,0,0
6/8/2016 1:00,0,0,0,0,0
6/8/2016 2:00,0,0,0,0,0
6/8/2016 3:00,0,0,0,0,0
6/8/2016 4:00,0,0,0,0,0
6/8/2016 5:00,0,0,0,0,0
6/8/2016 6:00,0,0,0,0,0
6/8/2016 7:00,0,0,0,0,0
6/8/2016 8:00,0,0,0,0,0
6/8/2016 9:00,0,0,0,0,0
6/8/2016 10:00,0,0.041847209,0.811178916,0.14745887,0
6/8/2016 11:00,0,0.130148441,0.349882036,0.130148441,0
6/8/2016 12:00,0.149584375,0.444518023,0.34018777,0.444518023,0
6/8/2016 13:00,0.568800075,0.815065157,0.445010426,0.552153283,0
6/8/2016 14:00,0.679227169,0.970870708,0.64860422,0.755747077,0
6/8/2016 15:00,0.637437054,1.517185531,0.637437054,0.75447973,0.281508537
6/8/2016 16:00,0.547804559,1.561830217,0.547804559,0.773838805,0.452804559
6/8/2016 17:00,0.657460052,1.524620838,0.657460052,0.949628857,0.577460052
6/8/2016 18:00,0.613029029,1.203476203,0.613029029,0.896881203,0.566362362
6/8/2016 19:00,0.424371942,0.531514799,0.424371942,0.531514799,0.424371942
6/8/2016 20:00,0.112572785,0.219715642,0.112572785,0.219715642,0.112572785
6/8/2016 21:00,0.029202096,0.136344953,0.029202096,0.136344953,0.029202096
6/8/2016 22:00,0,0.078567812,0,0.078567812,0
6/8/2016 23:00,0,0,0,0,0
6/9/2016 0:00,0,0,0,0,0
6/9/2016 1:00,0,0,0,0,0
6/9/2016 2:00,0,0,0,0,0
6/9/2016 3:00,0,0,0,0,0
6/9/2016 4:00,0,0,0,0,0
6/9/2016 5:00,0,0,0,0,0
6/9/2016 6:00,0,0,0,0,0
6/9/2016 7:00,0,0,0,0,0
6/9/2016 8:00,0,0,0,0,0
6/9/2016 9:00,0,0,0,0,0
6/9/2016 10:00,0,0.260297792,0,0.260389605,0
6/9/2016 11:00,0.383372727,0.842672181,0.482254111,0.842672181,0
6/9/2016 12:00,0.942709742,0.981757382,0.875631159,0.981757382,0.100001469
6/9/2016 13:00,0.99716924,1.239989476,0.878028987,0.985171844,0.64386232
6/9/2016 14:00,0.897808035,1.530385077,0.812059968,0.919202825,0.691226634
6/9/2016 15:00,0.821696949,1.78365615,0.821696949,0.941054476,0.730863615
6/9/2016 16:00,0.859924606,1.936653112,0.859924606,1.095317427,0.779091272
6/9/2016 17:00,0.862060632,1.943270309,0.862060632,1.207312321,0.809560632
6/9/2016 18:00,0.785622253,1.556747849,0.785622253,1.136125621,0.751455586
6/9/2016 19:00,0.655783507,0.762926364,0.655783507,0.762926364,0.655783507
6/9/2016 20:00,0.429637918,0.536780775,0.429637918,0.536780775,0.429637918
6/9/2016 21:00,0.354160589,0.461303446,0.354160589,0.461303446,0.354160589
6/9/2016 22:00,0.263348963,0.403825154,0.263348963,0.403825154,0.263348963
6/9/2016 23:00,0.171304584,0.311780775,0.171304584,0.311780775,0.171304584
6/10/2016 0:00,0.12085216,0.26132835,0.12085216,0.26132835,0.12085216
6/10/2016 1:00,0.118336843,0.225479701,0.118336843,0.225479701,0.118336843
6/10/2016 2:00,0.119673365,0.226816222,0.119673365,0.226816222,0.119673365
6/10/2016 3:00,0.110352168,0.217495025,0.110352168,0.217495025,0.110352168
6/10/2016 4:00,0.076520752,0.183663609,0.076520752,0.183663609,0.076520752
6/10/2016 5:00,0.077155807,0.184298664,0.077155807,0.184298664,0.077155807
6/10/2016 6:00,0,0.057759382,0.377943441,0.203397047,0
6/10/2016 7:00,0,0.050585602,0.228774981,0.112904441,0
6/10/2016 8:00,0,0.109520642,0.002566887,0.109520642,0
6/10/2016 9:00,0.163281612,0.297589405,0.441702566,0.302117216,0
6/10/2016 10:00,0.022580728,0.127236432,0.03857961,0.127236432,0
6/10/2016 11:00,0.338537909,0.319121603,0.491893684,0.319121603,0
6/10/2016 12:00,0.684043925,0.744975157,0.638829411,0.744975157,0
6/10/2016 13:00,0.746013709,0.91846648,0.689308698,0.796451555,0.292744145
6/10/2016 14:00,0.680943426,1.215677339,0.612206529,0.719349386,0.405539862
6/10/2016 15:00,0.597253473,1.520196417,0.597253473,0.717115898,0.503086806
6/10/2016 16:00,0.619258586,1.694994304,0.619258586,0.855518944,0.543425253
6/10/2016 17:00,0.667097033,1.516817516,0.667097033,0.956407198,0.575430367
6/10/2016 18:00,0.624317983,0.976687877,0.624317983,0.821527513,0.565984649
6/10/2016 19:00,0.423475393,0.530618251,0.423475393,0.530618251,0.423475393
6/10/2016 20:00,0.152857273,0.26000013,0.152857273,0.26000013,0.152857273
6/10/2016 21:00,0,0.043300258,0,0.043300258,0
6/10/2016 22:00,0.019968927,0.216585155,0.019968927,0.216585155,0.019968927
6/10/2016 23:00,0.026886013,0.167362203,0.026886013,0.167362203,0.026886013
6/11/2016 0:00,0.027284478,0.167760669,0.027284478,0.167760669,0.027284478
6/11/2016 1:00,0.027628985,0.134771843,0.027628985,0.134771843,0.027628985
6/11/2016 2:00,0.07693167,0.184074527,0.07693167,0.184074527,0.07693167
6/11/2016 3:00,0.076180396,0.183323253,0.076180396,0.183323253,0.076180396
6/11/2016 4:00,0.076055875,0.183198733,0.076055875,0.183198733,0.076055875
6/11/2016 5:00,0.076910917,0.184053774,0.076910917,0.184053774,0.076910917
6/11/2016 6:00,0.177901021,0.251710545,0.363310241,0.320543077,0.109567688
6/11/2016 7:00,0.343139852,0.416949376,0.455734673,0.444980339,0.199806519
6/11/2016 8:00,0.472773637,0.579916494,0.472773637,0.579916494,0.32360697
6/11/2016 9:00,0.743969035,0.851111892,0.902739447,0.8542978,0.458135701
6/11/2016 10:00,0.729417558,0.834124336,0.745487289,0.834124336,0.443648145
6/11/2016 11:00,0.886300456,0.981607733,0.901007616,0.981607733,0.535298209
6/11/2016 12:00,0.872031264,0.975459902,0.868422622,0.975459902,0.627483711
6/11/2016 13:00,1.140965991,1.280884544,1.112774259,1.219917117,0.769440926
6/11/2016 14:00,1.010040204,1.438954214,0.958990411,1.066133268,0.720657077
6/11/2016 15:00,0.985535753,1.689394533,0.985535753,1.102655512,0.811369086
6/11/2016 16:00,0.969169845,1.707727517,0.969169845,1.161043689,0.813336511
6/11/2016 17:00,0.987594493,1.802794489,0.987594493,1.268960047,0.89676116
6/11/2016 18:00,0.83254373,1.465150557,0.83254373,1.13301249,0.78754373
6/11/2016 19:00,0.656190274,0.763333132,0.656190274,0.763333132,0.656190274
6/11/2016 20:00,0.477105999,0.584248856,0.477105999,0.584248856,0.477105999
6/11/2016 21:00,0.354368123,0.46151098,0.354368123,0.46151098,0.354368123
6/11/2016 22:00,0.260294058,0.400770249,0.260294058,0.400770249,0.260294058
6/11/2016 23:00,0.168170816,0.308647007,0.168170816,0.308647007,0.168170816
6/12/2016 0:00,0.169337159,0.30981335,0.169337159,0.30981335,0.169337159
6/12/2016 1:00,0.208978291,0.316121148,0.208978291,0.316121148,0.208978291
6/12/2016 2:00,0,0,0,0,0
6/12/2016 3:00,0,0,0,0,0
6/12/2016 4:00,0,0,0,0,0
6/12/2016 5:00,0,0,0,0,0
