Time,
6/7/2016 20:00,5.096119522
6/7/2016 21:00,4.379161063
6/7/2016 22:00,3.818216533
6/7/2016 23:00,3.683319221
6/8/2016 0:00,3.716939782
6/8/2016 1:00,3.633510983
6/8/2016 2:00,3.73603294
6/8/2016 3:00,3.63434112
6/8/2016 4:00,3.703242516
6/8/2016 5:00,3.688300045
6/8/2016 6:00,3.865949428
6/8/2016 7:00,3.964735767
6/8/2016 8:00,4.205060517
6/8/2016 9:00,4.448705816
6/8/2016 10:00,5.781660801
6/8/2016 11:00,5.341546486
6/8/2016 12:00,6.399893679
6/8/2016 13:00,7.532861054
6/8/2016 14:00,8.056026435
6/8/2016 15:00,8.485533254
6/8/2016 16:00,8.450252944
6/8/2016 17:00,8.898349397
6/8/2016 18:00,8.14806165
6/8/2016 19:00,6.559053893
6/8/2016 20:00,4.653475783
6/8/2016 21:00,4.23288672
6/8/2016 22:00,4.08534535
6/8/2016 23:00,3.778785011
6/9/2016 0:00,3.817801464
6/9/2016 1:00,3.807424748
6/9/2016 2:00,3.753465823
6/9/2016 3:00,3.697846624
6/9/2016 4:00,3.694111006
6/9/2016 5:00,3.745994588
6/9/2016 6:00,3.94232206
6/9/2016 7:00,3.83772476
6/9/2016 8:00,4.110424864
6/9/2016 9:00,4.549982567
6/9/2016 10:00,5.285260457
6/9/2016 11:00,7.536360783
6/9/2016 12:00,9.031198835
6/9/2016 13:00,10.08283487
6/9/2016 14:00,9.925726951
6/9/2016 15:00,9.97104398
6/9/2016 16:00,10.22575255
6/9/2016 17:00,10.09270868
6/9/2016 18:00,9.446846495
6/9/2016 19:00,7.523934932
6/9/2016 20:00,6.278648039
6/9/2016 21:00,5.853528499
6/9/2016 22:00,5.551641179
6/9/2016 23:00,5.053648037
6/10/2016 0:00,4.756143432
6/10/2016 1:00,4.42536858
6/10/2016 2:00,4.565703294
6/10/2016 3:00,4.420310969
6/10/2016 4:00,4.201345651
6/10/2016 5:00,4.26802643
6/10/2016 6:00,4.569800008
6/10/2016 7:00,4.32047475
6/10/2016 8:00,4.386407029
6/10/2016 9:00,5.560836305
6/10/2016 10:00,4.892595232
6/10/2016 11:00,6.119519049
6/10/2016 12:00,7.667881677
6/10/2016 13:00,8.200086412
6/10/2016 14:00,8.473417028
6/10/2016 15:00,8.52930098
6/10/2016 16:00,8.794028617
6/10/2016 17:00,8.711600122
6/10/2016 18:00,7.830348582
6/10/2016 19:00,6.464916321
6/10/2016 20:00,4.716680362
6/10/2016 21:00,3.82138825
6/10/2016 22:00,4.153982605
6/10/2016 23:00,4.056364663
6/11/2016 0:00,4.098203581
6/11/2016 1:00,4.067710148
6/11/2016 2:00,4.244492038
6/11/2016 3:00,4.165608242
6/11/2016 4:00,4.152533579
6/11/2016 5:00,4.242312929
6/11/2016 6:00,4.798849012
6/11/2016 7:00,5.293643583
6/11/2016 8:00,5.742065215
6/11/2016 9:00,7.24287163
6/11/2016 10:00,7.237330461
6/11/2016 11:00,7.93469027
6/11/2016 12:00,8.019609505
6/11/2016 13:00,9.253789747
6/11/2016 14:00,9.046197199
6/11/2016 15:00,9.330446872
6/11/2016 16:00,9.573146183
6/11/2016 17:00,9.905534969
6/11/2016 18:00,8.924214901
6/11/2016 19:00,7.566645497
6/11/2016 20:00,6.262796566
6/11/2016 21:00,5.875319602
6/11/2016 22:00,5.230876126
6/11/2016 23:00,4.724602364
6/12/2016 0:00,4.847068371
6/12/2016 1:00,4.77605386
6/12/2016 2:00,3.560043831
6/12/2016 3:00,3.672112367
6/12/2016 4:00,3.528498614
6/12/2016 5:00,3.351264299
6/12/2016 6:00,3.637868162
6/12/2016 7:00,4.16198443
6/12/2016 8:00,4.984654971
6/12/2016 9:00,6.663223526
6/12/2016 10:00,6.963614917
6/12/2016 11:00,7.526627069
6/12/2016 12:00,7.924160376
6/12/2016 13:00,8.630899107
6/12/2016 14:00,8.335598444
6/12/2016 15:00,8.957642743
6/12/2016 16:00,8.509453437
6/12/2016 17:00,7.961479886
6/12/2016 18:00,7.810325662
6/12/2016 19:00,6.940369162
6/12/2016 20:00,6.441321744
6/12/2016 21:00,5.763323702
6/12/2016 22:00,5.890559264
6/12/2016 23:00,5.17291179
6/13/2016 0:00,4.888917666
6/13/2016 1:00,4.857988412
6/13/2016 2:00,4.601714647
6/13/2016 3:00,4.446561985
6/13/2016 4:00,4.252783036
6/13/2016 5:00,4.397040145
6/13/2016 6:00,5.614686644
6/13/2016 7:00,6.380440602
6/13/2016 8:00,7.475611094
6/13/2016 9:00,8.234233532
6/13/2016 10:00,8.124480222
6/13/2016 11:00,8.488675844
6/13/2016 12:00,9.251094901
6/13/2016 13:00,9.833107903
6/13/2016 14:00,9.770688027
6/13/2016 15:00,7.69979426
6/13/2016 16:00,5.332239347
6/13/2016 17:00,5.348410401
6/13/2016 18:00,4.684730873
6/13/2016 19:00,4.452026365
6/13/2016 20:00,3.780030217
6/13/2016 21:00,3.731882253
6/13/2016 22:00,4.012468662
6/13/2016 23:00,3.772143913
6/14/2016 0:00,3.816971327
6/14/2016 1:00,3.599060285
6/14/2016 2:00,3.729391841
6/14/2016 3:00,3.557138351
6/14/2016 4:00,3.562119175
6/14/2016 5:00,3.741843901
6/14/2016 6:00,3.701167173
6/14/2016 7:00,4.025750859
6/14/2016 8:00,3.866779565
6/14/2016 9:00,4.544171606
6/14/2016 10:00,4.76789361
6/14/2016 11:00,4.713519616
