Time,Zone1,Zone2,Zone3,Zone4,Zone5
6/3/2016 19:00,0.207077751,0.207077751,0.207077751,0.207077751,0.207077751
6/3/2016 20:00,0.195642609,0.195642609,0.195642609,0.195642609,0.195642609
6/3/2016 21:00,0.18815062,0.18815062,0.18815062,0.18815062,0.18815062
6/3/2016 22:00,0.195580349,0.195580349,0.195580349,0.195580349,0.195580349
6/3/2016 23:00,0.180596371,0.180596371,0.180596371,0.180596371,0.180596371
6/4/2016 0:00,0.190641032,0.190641032,0.190641032,0.190641032,0.190641032
6/4/2016 1:00,0.182069864,0.182069864,0.182069864,0.182069864,0.182069864
6/4/2016 2:00,0.175408012,0.175408012,0.175408012,0.175408012,0.175408012
6/4/2016 3:00,0.181551029,0.181551029,0.181551029,0.181551029,0.181551029
6/4/2016 4:00,0.177877671,0.177877671,0.177877671,0.177877671,0.177877671
6/4/2016 5:00,0.178977603,0.178977603,0.178977603,0.178977603,0.178977603
6/4/2016 6:00,0.171298833,0.171298833,0.171298833,0.171298833,0.171298833
6/4/2016 7:00,0.168227325,0.168227325,0.168227325,0.168227325,0.168227325
6/4/2016 8:00,0.169680065,0.169680065,0.169680065,0.169680065,0.169680065
6/4/2016 9:00,0.175491026,0.175491026,0.175491026,0.175491026,0.175491026
6/4/2016 10:00,0.182401919,0.182401919,0.182401919,0.182401919,0.182401919
6/4/2016 11:00,0.183211303,0.183211303,0.183211303,0.183211303,0.183211303
6/4/2016 12:00,0.192716375,0.192716375,0.192716375,0.192716375,0.192716375
6/4/2016 13:00,0.192488088,0.192488088,0.192488088,0.192488088,0.192488088
6/4/2016 14:00,0.193193704,0.193193704,0.193193704,0.193193704,0.193193704
6/4/2016 15:00,0.195995418,0.195995418,0.195995418,0.195995418,0.195995418
6/4/2016 16:00,0.19298617,0.19298617,0.19298617,0.19298617,0.19298617
6/4/2016 17:00,0.191906991,0.191906991,0.191906991,0.191906991,0.191906991
6/4/2016 18:00,0.192052265,0.192052265,0.192052265,0.192052265,0.192052265
6/4/2016 19:00,0.193027677,0.193027677,0.193027677,0.193027677,0.193027677
6/4/2016 20:00,0.192114526,0.192114526,0.192114526,0.192114526,0.192114526
6/4/2016 21:00,0.197053843,0.197053843,0.197053843,0.197053843,0.197053843
6/4/2016 22:00,0.195870897,0.195870897,0.195870897,0.195870897,0.195870897
6/4/2016 23:00,0.190890073,0.190890073,0.190890073,0.190890073,0.190890073
6/5/2016 0:00,0.18941658,0.18941658,0.18941658,0.18941658,0.18941658
6/5/2016 1:00,0.178687055,0.178687055,0.178687055,0.178687055,0.178687055
6/5/2016 2:00,0.181592535,0.181592535,0.181592535,0.181592535,0.181592535
6/5/2016 3:00,0.181364248,0.181364248,0.181364248,0.181364248,0.181364248
6/5/2016 4:00,0.178749315,0.178749315,0.178749315,0.178749315,0.178749315
6/5/2016 5:00,0.180202055,0.180202055,0.180202055,0.180202055,0.180202055
6/5/2016 6:00,0.176528698,0.176528698,0.176528698,0.176528698,0.176528698
6/5/2016 7:00,0.171547874,0.171547874,0.171547874,0.171547874,0.171547874
6/5/2016 8:00,0.174079793,0.174079793,0.174079793,0.174079793,0.174079793
6/5/2016 9:00,0.175989109,0.175989109,0.175989109,0.175989109,0.175989109
